x_m,y_m,w_tr_right_m,w_tr_left_m
32.96584418,67.63336825,1.1,1.1
32.66983448,67.88568113,1.1,1.1
32.37373672,68.13789103,1.1,1.1
32.0775474,68.38999381,1.1,1.1
31.78126319,68.64198551,1.1,1.1
31.48488057,68.89386201,1.1,1.1
31.1883962,69.14561941,1.1,1.1
30.89180659,69.39725352,1.1,1.1
30.5951083,69.64876029,1.1,1.1
30.29829785,69.90013575,1.1,1.1
30.00137188,70.15137586,1.1,1.1
29.70432689,70.40247657,1.1,1.1
29.40715947,70.65343376,1.1,1.1
29.10986789,70.90424541,1.1,1.1
28.81248585,71.15495119,1.1,1.1
28.51508109,71.40563068,1.1,1.1
28.21772254,71.65636478,1.1,1.1
27.92047927,71.90723469,1.1,1.1
27.6234202,72.15832133,1.1,1.1
27.32661426,72.40970589,1.1,1.1
27.0301306,72.66146936,1.1,1.1
26.73403805,72.91369279,1.1,1.1
26.43840329,73.16645444,1.1,1.1
26.14313981,73.41965108,1.1,1.1
25.84791468,73.67288763,1.1,1.1
25.55237326,73.92574309,1.1,1.1
25.25616061,74.17779632,1.1,1.1
24.95892193,74.42862609,1.1,1.1
24.66030236,74.67781135,1.1,1.1
24.35994701,74.92493093,1.1,1.1
24.05750102,75.1695637,1.1,1.1
23.75260688,75.41128337,1.1,1.1
23.44274176,75.6457037,1.1,1.1
23.11935617,75.85741412,1.1,1.1
22.77412481,76.03112385,1.1,1.1
22.4105943,76.17052652,1.1,1.1
22.03874176,76.28959858,1.1,1.1
21.66431723,76.39554854,1.1,1.1
21.28632773,76.4847887,1.1,1.1
20.90365515,76.55355981,1.1,1.1
20.5174859,76.60193629,1.1,1.1
20.12960305,76.63077203,1.1,1.1
19.741218,76.63891631,1.1,1.1
19.35336542,76.62460007,1.1,1.1
18.96708019,76.58605401,1.1,1.1
18.58339884,76.52150837,1.1,1.1
18.20445846,76.42883852,1.1,1.1
17.8353839,76.30495664,1.1,1.1
17.4818022,76.14661299,1.1,1.1
17.14934011,75.95055778,1.1,1.1
16.84349206,75.7141351,1.1,1.1
16.56853467,75.44013506,1.1,1.1
16.32809034,75.13427479,1.1,1.1
16.12577528,74.8022995,1.1,1.1
15.96520555,74.44995441,1.1,1.1
15.84817613,74.08268204,1.1,1.1
15.76772728,73.7044693,1.1,1.1
15.71427208,73.31886627,1.1,1.1
15.67822287,72.92942299,1.1,1.1
15.65022016,72.5395882,1.1,1.1
15.62525968,72.15087652,1.1,1.1
15.60224943,71.76306485,1.1,1.1
15.58023673,71.3758684,1.1,1.1
15.55826876,70.9890024,1.1,1.1
15.53539262,70.60218199,1.1,1.1
15.51065554,70.21512253,1.1,1.1
15.4831047,69.82753901,1.1,1.1
15.45178736,69.43914681,1.1,1.1
15.41573076,69.0496784,1.1,1.1
15.37284621,68.65984315,1.1,1.1
15.3193595,68.27182541,1.1,1.1
15.25135633,67.88793217,1.1,1.1
15.1649223,67.51047039,1.1,1.1
15.05614318,67.14174712,1.1,1.1
14.92110475,66.78406925,1.1,1.1
14.75589262,66.43974382,1.1,1.1
14.55659255,66.11107764,1.1,1.1
14.31930175,65.8003784,1.1,1.1
14.04529603,65.51016571,1.1,1.1
13.74916039,65.2435057,1.1,1.1
13.4455794,65.00342083,1.1,1.1
13.13193633,64.7918155,1.1,1.1
12.79693367,64.61004021,1.1,1.1
12.43688784,64.46031371,1.1,1.1
12.05935154,64.34613049,1.1,1.1
11.67276916,64.27108638,1.1,1.1
11.28558509,64.23877723,1.1,1.1
10.90449861,64.25208051,1.1,1.1
10.52828058,64.31060954,1.1,1.1
10.15381101,64.41285257,1.1,1.1
9.784310946,64.55379132,1.1,1.1
9.428419714,64.72541438,1.1,1.1
9.092792185,64.92180991,1.1,1.1
8.778710233,65.14253086,1.1,1.1
8.486633664,65.38796617,1.1,1.1
8.217022675,65.65850463,1.1,1.1
7.970438664,65.9542549,1.1,1.1
7.74828182,66.27301458,1.1,1.1
7.552364845,66.61144373,1.1,1.1
7.384503319,66.9661942,1.1,1.1
7.246512743,67.33391812,1.1,1.1
7.140208851,67.7112675,1.1,1.1
7.067407147,68.09489439,1.1,1.1
7.029923365,68.48145079,1.1,1.1
7.029573006,68.86758869,1.1,1.1
7.067905303,69.25007171,1.1,1.1
7.142095763,69.62749568,1.1,1.1
7.245741549,69.99995544,1.1,1.1
7.372334969,70.36758967,1.1,1.1
7.515368251,70.73053708,1.1,1.1
7.668672082,71.08901828,1.1,1.1
7.828754231,71.44389935,1.1,1.1
7.993393454,71.79635335,1.1,1.1
8.160376595,72.14755511,1.1,1.1
8.327511423,72.49866804,1.1,1.1
8.493538623,72.85035753,1.1,1.1
8.65847523,73.20260718,1.1,1.1
8.822430694,73.55535133,1.1,1.1
8.985514462,73.90852425,1.1,1.1
9.147835826,74.26206029,1.1,1.1
9.309504157,74.61589379,1.1,1.1
9.470628981,74.96995901,1.1,1.1
9.631319591,75.32419032,1.1,1.1
9.791685357,75.67852205,1.1,1.1
9.95184475,76.03289486,1.1,1.1
10.11193725,76.38726416,1.1,1.1
10.27210535,76.74158741,1.1,1.1
10.43249142,77.09582214,1.1,1.1
10.59323804,77.44992603,1.1,1.1
10.75448771,77.80385645,1.1,1.1
10.91638287,78.15757101,1.1,1.1
11.07906595,78.51102724,1.1,1.1
11.24267954,78.86418265,1.1,1.1
11.40755998,79.2168585,1.1,1.1
11.57485793,79.5683039,1.1,1.1
11.74593772,79.9176179,1.1,1.1
11.92216367,80.26389939,1.1,1.1
12.10489995,80.60624736,1.1,1.1
12.29551099,80.94376095,1.1,1.1
12.49536094,81.27553904,1.1,1.1
12.70581422,81.60068063,1.1,1.1
12.92823508,81.91828476,1.1,1.1
13.16362589,82.22765624,1.1,1.1
13.41020477,82.52968365,1.1,1.1
13.66489767,82.82599058,1.1,1.1
13.92462355,83.11820452,1.1,1.1
14.18630138,83.40795319,1.1,1.1
14.44767077,83.69638172,1.1,1.1
14.70986876,83.98263879,1.1,1.1
14.97491109,84.26535665,1.1,1.1
15.2448134,84.54316754,1.1,1.1
15.52141958,84.81485407,1.1,1.1
15.80389325,85.08154326,1.1,1.1
16.08927762,85.34621686,1.1,1.1
16.37455797,85.61190732,1.1,1.1
16.65671949,85.88164697,1.1,1.1
16.93359225,86.15743529,1.1,1.1
17.20944295,86.43340096,1.1,1.1
17.49149992,86.70005094,1.1,1.1
17.78700726,86.94787287,1.1,1.1
18.1030333,87.16757876,1.1,1.1
18.43950997,87.35897592,1.1,1.1
18.78691924,87.53391619,1.1,1.1
19.13699346,87.70275606,1.1,1.1
19.48917597,87.86642332,1.1,1.1
19.84480778,88.02346752,1.1,1.1
20.20435281,88.17263146,1.1,1.1
